"CBLS County-level Summary Data for NJ, 2013",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Atlantic County,3659,142,23,0.600000005215406%,8,114090,24868,11.9999997317791%
003,Bergen County,9591,217,31,0.300000002607703%,9,339820,126125,3.99999991059303%
005,Burlington Coun,1728,67,10,0.600000005215406%,4,161311,26363,5.00000007450581%
007,Camden County,4036,89,35,0.899999961256981%,12,199679,57949,15.0000005960464%
009,Cape May County,472,13,3,0.600000005215406%,1,91047,20248,11.9999997317791%
011,Cumberland Coun,2497,124,25,0.999999977648258%,15,52863,16316,23.0000004172325%
013,Essex County,22074,1073,182,0.800000037997961%,77,301011,142297,20.9999993443489%
015,Gloucester Coun,1232,39,6,0.499999988824129%,1,95054,19029,5.99999986588955%
017,Hudson County,14793,414,64,0.400000018998981%,14,240618,125180,20.9999993443489%
019,Hunterdon Count,833,34,4,0.499999988824129%,2,45032,11720,0.999999977648258%
021,Mercer County,4460,203,36,0.800000037997961%,7,133280,44117,11.9999997317791%
023,Middlesex Count,10070,216,28,0.300000002607703%,6,273637,52430,7.00000002980232%
025,Monmouth County,5974,149,22,0.400000018998981%,9,240884,56969,7.99999982118607%
027,Morris County,3664,62,16,0.400000018998981%,2,174379,40039,2.99999993294477%
029,Ocean County,9011,130,29,0.300000002607703%,6,248711,24076,12.9999995231628%
031,Passaic County,11774,457,71,0.600000005215406%,15,170048,70979,18.0000007152557%
033,Salem County,596,34,10,1.7000000923872%,4,26158,9623,15.0000005960464%
035,Somerset County,2981,39,6,0.20000000949949%,2,112023,21286,3.99999991059303%
037,Sussex County,936,12,1,0.100000004749745%,0,56528,12221,3.99999991059303%
039,Union County,10145,351,47,0.499999988824129%,22,192945,82231,10.0000001490116%
041,Warren County,812,27,5,0.600000005215406%,3,41157,14786,5.00000007450581%
013,Dona Ana County,n,n,n,n,n,65210,5259,37.0000004768372%
013,Chautauqua Coun,n,n,n,n,n,64900,36268,25%
017,Chenango County,29,.,0,0%,0,23890,10064,20.0000002980232%
019,Bedford County,n,n,n,n,n,26841,2823,7.00000002980232%
*# of Addresses where address state not in selected state: 10051,# of Addresses where program state is not in selected state: 10,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2009-2013",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
