"CBLS County-level Summary Data for AZ, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Apache County,358,18,3,0.800000037997961%,1,31621,1599,44.9999988079071%
003,Cochise County,1817,51,12,0.700000021606684%,1,51126,6312,28.0000001192093%
005,Coconino County,1104,15,1,0.100000004749745%,0,53443,2496,23.9999994635582%
007,Gila County,282,8,1,0.400000018998981%,2,28189,2910,27.0000010728836%
009,Graham County,296,8,0,0%,1,11430,1505,28.0000001192093%
011,Greenlee County,58,1,0,0%,0,3744,727,12.9999995231628%
012,La Paz County,92,2,1,1.09999999403954%,0,15133,498,30.0000011920929%
013,Maricopa County,37113,274,54,0.100000004749745%,18,1250231,41878,17.0000001788139%
015,Mohave County,922,4,2,0.20000000949949%,1,80062,1184,23.9999994635582%
017,Navajo County,796,31,4,0.499999988824129%,0,47413,2755,40.0000005960465%
019,Pima County,6479,66,4,0.100000004749745%,3,366737,24679,21.9999998807907%
021,Pinal County,2422,43,3,0.100000004749745%,0,81154,3423,27.0000010728836%
023,Santa Cruz Coun,404,4,0,0%,0,13036,1518,31.9999992847443%
025,Yavapai County,775,7,0,0%,0,81730,5224,20.0000002980232%
027,Yuma County,2687,7,5,0.20000000949949%,2,74140,3278,28.0000001192093%
001,Bernalillo Coun,n,n,n,n,n,239074,23374,20.0000002980232%
*# of Addresses where address state not in selected state: 1,# of Addresses where program state is not in selected state: 0,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
