"CBLS County-level Summary Data for MA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Barnstable County,4750,41.2999987602234%,13,0.273684210526316%,2,147083,24993,7.99999982118607%,11512
003,Berkshire County,4351,58.7000012397766%,43,0.988278556653643%,7,66301,33453,15.0000005960464%,7412
005,Bristol County,22235,57.8000009059906%,187,0.841016415561052%,26,216918,94216,15.0000005960464%,38451
007,Dukes County,201,21.5000003576279%,1,0.497512437810945%,0,14836,3617,10.0000001490116%,935
009,Essex County,27918,51.0999977588654%,227,0.813095493946558%,71,287144,133474,11.9999997317791%,54604
011,Franklin County,1440,36.1999988555908%,12,0.833333333333333%,5,31939,14872,12.9999995231628%,3980
013,Hampden County,18085,53.2000005245209%,210,1.16118330107824%,54,185876,73635,25.9999990463257%,33963
015,Hampshire County,3377,46.2000012397766%,18,0.53301747112822%,7,58644,20868,9.00000035762787%,7310
017,Middlesex County,49941,48.8000005483627%,213,0.426503273863159%,55,576681,258816,5.99999986588955%,102318
019,Nantucket County,189,21.4000001549721%,2,1.05820105820106%,0,9210,2444,2.99999993294477%,882
021,Norfolk County,21833,47.0999985933304%,73,0.334356249713736%,14,255154,100376,3.99999991059303%,46337
023,Plymouth County,17990,49.0000009536743%,108,0.600333518621456%,37,181524,59052,9.00000035762787%,36706
025,Suffolk County,28375,55.5999994277954%,283,0.997356828193833%,93,292520,179412,25%,51073
027,Worcester County,27123,46.5999990701675%,192,0.707886295763743%,55,298159,122324,11.9999997317791%,58192
999,Unknown,n,,n,#VALUE!,n,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Massachusetts 2007 Confirmed Cases,,1582,,,,,,,
