"CBLS County-level Summary Data for MO, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,466,27.700001001358%,1,0.214592274678112%,0,10826,2744,23.0000004172325%,1685
003,Andrew County,213,18.0000007152557%,2,0.938967136150235%,0,6662,1906,7.99999982118607%,1181
005,Atchison County,63,18.4000000357628%,1,1.58730158730159%,0,3103,1603,15.9999996423721%,342
007,Audrain County,400,17.5999999046326%,5,1.25%,4,10881,3349,30.0000011920929%,2268
009,Barry County,399,12.6000002026558%,0,0%,1,15964,3410,23.9999994635582%,3163
011,Barton County,224,23.3999997377396%,0,0%,1,5409,1977,17.0000001788139%,956
013,Bates County,377,28.600001335144%,3,0.795755968169761%,0,7247,2452,17.0000001788139%,1320
015,Benton County,220,20.7000002264976%,0,0%,0,12691,1670,25.9999990463257%,1065
017,Bollinger County,247,29.1000008583069%,0,0%,0,5522,1132,15.9999996423721%,849
019,Boone County,2256,18.5000002384186%,2,0.0886524822695036%,1,56678,5975,15.0000005960464%,12180
021,Buchanan County,1294,17.8000003099442%,26,2.00927357032457%,14,36574,15766,15.9999996423721%,7278
023,Butler County,561,16.5999993681908%,1,0.17825311942959%,2,18707,3202,30.0000011920929%,3385
025,Caldwell County,193,25.9999990463257%,0,0%,0,4493,1575,18.0000007152557%,742
027,Callaway County,513,16.3000002503395%,0,0%,0,16167,2457,14.0000000596046%,3139
029,Camden County,308,11.2000003457069%,0,0%,0,33470,1377,20.0000002980232%,2762
031,Cape Girardeau County,656,11.8000000715256%,1,0.152439024390244%,3,29434,5874,14.0000000596046%,5581
033,Carroll County,230,36.1000001430511%,3,1.30434782608696%,0,4897,2121,20.9999993443489%,638
035,Carter County,131,27.2000014781952%,0,0%,0,3028,431,21.9999998807907%,482
037,Cass County,946,11.599999666214%,0,0%,0,31677,3661,7.00000002980232%,8190
039,Cedar County,93,9.49999988079071%,0,0%,0,6813,1508,25.9999990463257%,981
041,Chariton County,124,23.4999999403954%,1,0.806451612903226%,1,4250,1644,14.0000000596046%,528
043,Christian County,893,13.1999999284744%,2,0.223964165733483%,0,21827,1933,15.0000005960464%,6764
045,Clark County,99,18.9999997615814%,0,0%,0,3483,1197,15.0000005960464%,521
047,Clay County,2292,11.9000002741814%,3,0.130890052356021%,1,76230,9060,5.99999986588955%,19229
049,Clinton County,290,17.9000005125999%,2,0.689655172413793%,0,7877,2258,12.9999995231628%,1618
051,Cole County,868,14.5999997854233%,0,0%,0,28915,5437,14.0000000596046%,5936
053,Cooper County,334,28.0000001192093%,1,0.29940119760479%,0,6676,2439,12.9999995231628%,1192
055,Crawford County,367,18.6000004410744%,1,0.272479564032697%,1,10850,2132,30.0000011920929%,1971
057,Dade County,90,17.2000005841255%,0,0%,1,3758,1412,18.0000007152557%,523
059,Dallas County,175,12.5%,0,0%,0,6914,1355,33.0000013113022%,1402
061,Daviess County,153,20.8000004291534%,1,0.65359477124183%,0,3853,1336,25%,736
063,DeKalb County,162,23.0000004172325%,2,1.23456790123457%,1,3839,1186,10.9999999403954%,704
065,Dent County,283,26.3000011444092%,1,0.353356890459364%,2,6994,1548,20.9999993443489%,1077
067,Douglas County,194,20.8000004291534%,0,0%,0,5919,1356,27.0000010728836%,933
069,Dunklin County,457,16.5999993681908%,1,0.218818380743982%,0,14682,3201,37.0000004768372%,2754
071,Franklin County,837,10.4000002145767%,2,0.2389486260454%,2,38295,7180,7.99999982118607%,8055
073,Gasconade County,189,18.0999994277954%,0,0%,0,7813,2397,14.0000000596046%,1044
075,Gentry County,135,28.2999992370605%,1,0.740740740740741%,0,3214,1496,14.0000000596046%,477
077,Greene County,3188,15.1999995112419%,8,0.250941028858218%,1,104517,18806,15.9999996423721%,21026
