"CBLS County-level Summary Data for MS, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adams County,801,32.8999996185303%,9,1.12359550561798%,1,,,,2438
003,Alcorn County,317,10.9999999403954%,0,0%,0,,,,2881
005,Amite County,150,15.0000005960464%,3,2%,2,,,,1002
007,Attala County,433,24.6000006794929%,1,0.23094688221709%,0,,,,1761
009,Benton County,171,24.8999997973442%,0,0%,0,,,,687
011,Bolivar County,891,25.6999999284744%,2,0.224466891133558%,1,,,,3470
013,Calhoun County,275,23.2999995350838%,1,0.363636363636364%,0,,,,1182
015,Carroll County,209,29.6999990940094%,1,0.478468899521531%,0,,,,704
017,Chickasaw County,365,21.6999992728233%,4,1.0958904109589%,1,,,,1683
019,Choctaw County,128,20.4999998211861%,0,0%,0,,,,624
021,Claiborne County,164,19.200000166893%,0,0%,0,,,,854
023,Clarke County,247,18.0000007152557%,1,0.404858299595142%,0,,,,1370
025,Clay County,439,25.4000008106232%,3,0.683371298405467%,0,,,,1728
027,Coahoma County,1032,36.5000009536743%,5,0.484496124031008%,3,,,,2828
029,Copiah County,620,22.9000002145767%,4,0.645161290322581%,2,,,,2702
031,Covington County,397,21.6999992728233%,1,0.251889168765743%,1,,,,1827
033,De Soto County,1288,8.79999995231628%,0,0%,1,,,,14633
035,Forrest County,1176,16.4000004529953%,3,0.255102040816327%,4,,,,7191
037,Franklin County,125,18.299999833107%,1,0.8%,0,,,,684
039,George County,364,16.3000002503395%,0,0%,0,,,,2233
041,Greene County,131,14.0000000596046%,1,0.763358778625954%,0,,,,933
043,Grenada County,504,26.3000011444092%,1,0.198412698412698%,0,,,,1920
045,Hancock County,101,3.50000001490116%,1,0.99009900990099%,0,,,,2876
047,Harrison County,1247,7.59999975562096%,11,0.882117080994387%,2,,,,16321
049,Hinds County,4934,21.6000005602837%,19,0.3850830968788%,12,,,,22852
051,Holmes County,710,32.1000009775162%,3,0.422535211267606%,2,,,,2215
053,Humphreys County,403,35.4000002145767%,4,0.992555831265509%,3,,,,1139
055,Issaquena County,11,13.8999998569489%,0,0%,0,,,,79
057,Itawamba County,193,10.9999999403954%,0,0%,0,,,,1747
059,Jackson County,1022,9.0999998152256%,0,0%,2,,,,11229
061,Jasper County,413,27.2000014781952%,2,0.484261501210654%,0,,,,1521
063,Jefferson County,211,29.3999999761581%,2,0.947867298578199%,0,,,,718
065,Jefferson Davis County,193,19.4000005722046%,0,0%,0,,,,994
067,Jones County,1305,20.2000007033348%,25,1.91570881226054%,11,,,,6452
069,Kemper County,134,18.5000002384186%,1,0.746268656716418%,0,,,,725
071,Lafayette County,474,15.0000005960464%,0,0%,0,,,,3166
073,Lamar County,389,8.10000002384186%,0,0%,0,,,,4801
075,Lauderdale County,1321,18.6000004410744%,16,1.2112036336109%,8,,,,7115
077,Lawrence County,160,14.9000003933907%,2,1.25%,1,,,,1076
079,Leake County,502,21.9999998807907%,2,0.398406374501992%,0,,,,2286
081,Lee County,996,13.0999997258186%,2,0.200803212851406%,0,,,,7609
083,Leflore County,1117,33.5999995470047%,7,0.62667860340197%,11,,,,3326
085,Lincoln County,232,7.80000016093254%,1,0.431034482758621%,0,,,,2986
087,Lowndes County,744,14.0000000596046%,1,0.134408602150538%,0,,,,5299
089,Madison County,1234,14.300000667572%,2,0.162074554294976%,1,,,,8617
091,Marion County,213,8.90000015497208%,2,0.938967136150235%,1,,,,2388
093,Marshall County,635,20.2999994158745%,3,0.47244094488189%,2,,,,3134
095,Monroe County,602,19.5999994874001%,3,0.498338870431894%,0,,,,3069
097,Montgomery County,287,31.4000010490417%,1,0.348432055749129%,1,,,,915
099,Neshoba County,295,9.49999988079071%,1,0.338983050847458%,0,,,,3103
101,Newton County,395,18.9999997615814%,6,1.51898734177215%,1,,,,2075
103,Noxubee County,289,25.6000012159348%,1,0.346020761245675%,1,,,,1129
105,Oktibbeha County,564,16.3000002503395%,2,0.354609929078014%,0,,,,3450
107,Panola County,862,25.2999991178513%,2,0.232018561484919%,1,,,,3401
109,Pearl River County,214,4.50000017881393%,0,0%,0,,,,4772
111,Perry County,141,13.6000007390976%,0,0%,0,,,,1036
113,Pike County,322,8.20000022649765%,6,1.86335403726708%,3,,,,3931
115,Pontotoc County,300,11.4000000059605%,0,0%,0,,,,2626
117,Prentiss County,185,9.7000002861023%,1,0.540540540540541%,0,,,,1908
119,Quitman County,213,30.3999990224838%,1,0.469483568075117%,1,,,,700
121,Rankin County,958,7.50000029802322%,0,0%,0,,,,12788
123,Scott County,493,17.2000005841255%,1,0.202839756592292%,0,,,,2868
125,Sharkey County,120,22.9000002145767%,1,0.833333333333333%,0,,,,524
127,Simpson County,443,18.1999996304512%,1,0.225733634311512%,0,,,,2428
129,Smith County,237,18.9999997615814%,2,0.843881856540084%,3,,,,1247
131,Stone County,193,14.300000667572%,1,0.518134715025907%,0,,,,1353
133,Sunflower County,706,25.6999999284744%,2,0.28328611898017%,0,,,,2744
135,Tallahatchie County,480,44.200000166893%,4,0.833333333333333%,1,,,,1086
137,Tate County,293,11.9999997317791%,1,0.341296928327645%,0,,,,2432
139,Tippah County,256,13.400000333786%,1,0.390625%,0,,,,1910
141,Tishomingo County,124,8.90000015497208%,1,0.806451612903226%,0,,,,1393
143,Tunica County,437,35.4000002145767%,0,0%,0,,,,1236
145,Union County,207,8.79999995231628%,1,0.483091787439613%,0,,,,2355
147,Walthall County,118,8.90000015497208%,3,2.54237288135593%,0,,,,1326
