"CBLS County-level Summary Data for KS, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Allen County,149,15.8000007271767%,4,2.68456375838926%,0,6449,2838,28.0000001192093%,944
003,Anderson County,84,13.7999996542931%,1,1.19047619047619%,0,3596,1552,20.0000002980232%,608
005,Atchison County,171,12.9999995231628%,5,2.92397660818713%,0,6818,3406,11.9999997317791%,1318
007,Barber County,37,12.8999993205071%,1,2.7027027027027%,0,2740,1455,14.0000000596046%,286
009,Barton County,114,5.49999997019768%,1,0.87719298245614%,0,12888,4715,20.0000002980232%,2072
011,Bourbon County,57,4.69999983906746%,2,3.50877192982456%,0,7135,3398,23.0000004172325%,1214
013,Brown County,96,12.0999999344349%,5,5.20833333333333%,2,4815,2585,20.0000002980232%,792
015,Butler County,102,2.09999997168779%,0,0%,1,23176,5797,10.9999999403954%,4810
017,Chase County,11,5.00000007450581%,1,9.09090909090909%,0,1529,802,11.9999997317791%,220
019,Chautauqua County,24,11.5000002086163%,1,4.16666666666667%,0,2169,1206,18.0000007152557%,209
021,Cherokee County,295,19.9000000953674%,3,1.01694915254237%,1,10031,4187,21.9999998807907%,1480
023,Cheyenne County,16,11.2000003457069%,0,0%,0,1636,966,15.9999996423721%,143
027,Clay County,94,15.8999994397163%,1,1.06382978723404%,0,4084,2211,15.0000005960464%,590
029,Cloud County,69,11.6999998688698%,0,0%,0,4838,2813,20.9999993443489%,592
031,Coffey County,21,3.4000001847744%,1,4.76190476190476%,0,3876,1472,5.00000007450581%,610
033,Comanche County,n,,n,#VALUE!,n,1088,748,17.0000001788139%,105
035,Cowley County,350,13.400000333786%,7,2%,2,15673,6824,25%,2613
037,Crawford County,272,9.00000035762787%,1,0.367647058823529%,1,17221,7002,21.9999998807907%,3037
041,Dickinson County,224,17.2000005841255%,1,0.446428571428571%,0,8686,4205,7.99999982118607%,1305
043,Doniphan County,74,16.2000000476837%,1,1.35135135135135%,0,3489,1521,18.0000007152557%,458
045,Douglas County,506,6.8000003695488%,1,0.197628458498024%,0,40250,6271,10.9999999403954%,7424
047,Edwards County,27,11.9000002741814%,0,0%,0,1754,1038,20.9999993443489%,226
049,Elk County,11,5.60000017285347%,0,0%,0,1860,1111,11.9999997317791%,198
051,Ellis County,361,17.7000001072884%,5,1.38504155124654%,0,12078,2693,10.0000001490116%,2035
053,Ellsworth County,75,24.4000002741814%,2,2.66666666666667%,0,3228,1672,7.99999982118607%,308
055,Finney County,410,9.39999967813492%,1,0.24390243902439%,0,13763,2237,23.0000004172325%,4361
057,Ford County,645,17.2000005841255%,3,0.465116279069767%,0,11650,2960,15.9999996423721%,3746
059,Franklin County,179,7.90000036358833%,3,1.67597765363129%,1,10229,3756,11.9999997317791%,2265
061,Geary County,151,5.09999990463257%,2,1.32450331125828%,0,11959,2801,20.0000002980232%,2946
063,Gove County,21,13.7999996542931%,1,4.76190476190476%,0,1423,614,15.0000005960464%,152
065,Graham County,18,14.0000000596046%,1,5.55555555555556%,0,1553,701,23.0000004172325%,129
067,Grant County,75,10.1999998092651%,0,0%,0,3027,436,14.0000000596046%,736
069,Gray County,27,5.29999993741512%,0,0%,0,2181,733,20.9999993443489%,514
071,Greeley County,11,15.5000001192093%,0,0%,0,712,277,17.0000001788139%,71
073,Greenwood County,119,27.5000005960464%,6,5.04201680672269%,1,4273,2029,25.9999990463257%,433
075,Hamilton County,n,,n,#VALUE!,n,1211,430,23.0000004172325%,220
077,Harper County,12,3.20000015199184%,0,0%,0,3270,1807,20.9999993443489%,373
079,Harvey County,150,5.90000003576279%,3,2%,0,13378,4249,7.99999982118607%,2527
081,Haskell County,18,4.50000017881393%,0,0%,0,1639,421,17.0000001788139%,398
083,Hodgeman County,36,27.700001001358%,0,0%,0,945,482,17.0000001788139%,130
085,Jackson County,168,14.9000003933907%,3,1.78571428571429%,1,5094,1918,12.9999995231628%,1126
087,Jefferson County,114,9.20000001788139%,0,0%,0,7491,2069,10.9999999403954%,1244
089,Jewell County,10,7.99999982118607%,0,0%,0,2103,1407,15.0000005960464%,125
091,Johnson County,2690,5.79999983310699%,12,0.446096654275093%,1,181612,14110,2.99999993294477%,46434
093,Kearny County,10,2.80000008642673%,0,0%,0,1657,424,20.9999993443489%,358
095,Kingman County,24,5.40000014007092%,0,0%,0,3852,1958,15.0000005960464%,448
097,Kiowa County,17,8.50000008940697%,1,5.88235294117647%,0,1643,802,17.0000001788139%,199
099,Labette County,83,5.09999990463257%,1,1.20481927710843%,0,10306,5261,20.9999993443489%,1637
101,Lane County,n,,n,#VALUE!,n,1065,478,14.0000000596046%,92
103,Leavenworth County,493,8.60000029206276%,5,1.01419878296146%,1,24401,6285,9.00000035762787%,5739
105,Lincoln County,47,24.6000006794929%,0,0%,1,1853,1202,17.0000001788139%,191
107,Linn County,37,5.40000014007092%,1,2.7027027027027%,0,4720,1625,14.0000000596046%,684
109,Logan County,9,5.79999983310699%,0,0%,0,1423,594,9.00000035762787%,156
111,Lyon County,434,14.300000667572%,4,0.921658986175115%,2,14757,5060,21.9999998807907%,3036
113,McPherson County,196,9.49999988079071%,1,0.510204081632653%,1,11830,4364,9.00000035762787%,2055
115,Marion County,63,8.39999988675118%,0,0%,0,5882,2844,10.0000001490116%,749
117,Marshall County,185,26.1000007390976%,2,1.08108108108108%,0,4999,2929,12.9999995231628%,708
119,Meade County,68,19.4000005722046%,1,1.47058823529412%,0,1968,902,15.0000005960464%,351
121,Miami County,104,3.90000008046627%,0,0%,0,10984,3122,3.99999991059303%,2649
123,Mitchell County,45,12.3000003397465%,0,0%,0,3340,1829,14.0000000596046%,366
125,Montgomery County,180,6.70000016689301%,3,1.66666666666667%,1,17207,8729,23.0000004172325%,2678
127,Morris County,14,3.99999991059303%,0,0%,0,3160,1585,10.0000001490116%,348
129,Morton County,6,2.40000002086163%,0,0%,0,1519,466,20.0000002980232%,248
131,Nemaha County,75,9.6000000834465%,3,4%,2,4340,2303,7.99999982118607%,779
133,Neosho County,252,20.3999996185303%,9,3.57142857142857%,1,7461,3563,25%,1234
135,Ness County,10,6.59999996423721%,1,10%,0,1835,908,10.0000001490116%,151
137,Norton County,34,10.9999999403954%,1,2.94117647058823%,0,2673,1429,11.9999997317791%,309
139,Osage County,91,7.80000016093254%,0,0%,0,7018,2390,10.0000001490116%,1166
141,Osborne County,8,3.90000008046627%,1,12.5%,0,2419,1476,20.9999993443489%,203
143,Ottawa County,55,13.1999999284744%,2,3.63636363636364%,1,2755,1363,10.0000001490116%,416
145,Pawnee County,26,6.8000003695488%,0,0%,0,3114,1511,11.9999997317791%,385
147,Phillips County,20,6.1999998986721%,1,5%,0,3088,1593,10.9999999403954%,325
