"CBLS County-level Summary Data for IA, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,51,11.2000003457069%,1,1.96078431372549%,0,3690,1943,14.0000000596046%,454
003,Adams County,86,32.8000009059906%,0,0%,0,2109,1286,18.9999997615814%,262
005,Allamakee County,410,35.699999332428%,3,0.731707317073171%,1,7142,3095,11.9999997317791%,1149
007,Appanoose County,207,22.2000002861023%,3,1.44927536231884%,0,6697,3042,20.0000002980232%,932
009,Audubon County,126,34.0999990701675%,3,2.38095238095238%,1,2995,1731,11.9999997317791%,369
011,Benton County,494,26.1000007390976%,3,0.607287449392712%,4,10377,4912,9.00000035762787%,1894
013,Black Hawk County,2339,23.7000003457069%,24,1.02607952116289%,13,51759,16730,18.0000007152557%,9885
015,Boone County,662,35.4000002145767%,7,1.05740181268882%,2,10968,5583,10.9999999403954%,1871
017,Bremer County,292,18.4000000357628%,1,0.342465753424657%,0,9337,4108,5.00000007450581%,1591
019,Buchanan County,321,17.7000001072884%,4,1.24610591900312%,3,8697,3640,14.0000000596046%,1815
021,Buena Vista County,335,21.6000005602837%,8,2.38805970149254%,2,8145,3943,17.0000001788139%,1549
023,Butler County,197,19.7999998927116%,1,0.507614213197969%,0,6578,3573,11.9999997317791%,996
025,Calhoun County,187,32.600000500679%,2,1.06951871657754%,1,5219,2784,10.9999999403954%,573
027,Carroll County,554,35.6000006198883%,6,1.08303249097473%,2,9019,3971,7.99999982118607%,1555
029,Cass County,197,20.9000006318092%,7,3.55329949238579%,7,6590,3684,14.0000000596046%,941
031,Cedar County,435,35.699999332428%,8,1.83908045977011%,2,7570,3722,5.00000007450581%,1219
033,Cerro Gordo County,1291,44.4999992847443%,14,1.0844306738962%,7,21488,9484,11.9999997317791%,2898
035,Cherokee County,211,30.799999833107%,3,1.4218009478673%,2,5850,3125,12.9999995231628%,686
037,Chickasaw County,197,22.3000004887581%,2,1.01522842639594%,1,5593,2780,9.00000035762787%,885
039,Clarke County,175,23.6000001430511%,0,0%,1,3934,1644,12.9999995231628%,742
041,Clay County,359,30.0999999046326%,0,0%,2,7828,3284,18.9999997615814%,1193
043,Clayton County,371,30.7000011205673%,10,2.69541778975741%,0,8619,4861,14.0000000596046%,1210
045,Clinton County,1115,30.8999985456467%,25,2.24215246636771%,11,21585,10666,18.9999997615814%,3605
047,Crawford County,323,22.8000000119209%,6,1.85758513931889%,4,6958,3417,12.9999995231628%,1415
049,Dallas County,1358,27.0000010728836%,7,0.515463917525773%,0,16529,5108,7.00000002980232%,5029
051,Davis County,126,16.6999995708466%,0,0%,0,3530,1607,11.9999997317791%,753
053,Decatur County,138,23.8000005483627%,2,1.44927536231884%,1,3833,1672,12.9999995231628%,579
055,Delaware County,170,13.6999994516373%,4,2.35294117647059%,1,7682,3325,9.00000035762787%,1237
057,Des Moines County,866,28.0000001192093%,28,3.23325635103926%,11,18643,9412,20.9999993443489%,3097
059,Dickinson County,115,11.1000001430511%,0,0%,0,11375,2993,10.0000001490116%,1038
