"CBLS County-level Summary Data for MI, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Alcona County,136,29.6000003814697%,0,0%,0,10584,2225,23.0000004172325%,460
003,Alger County,110,22.9000002145767%,0,0%,0,5964,1943,12.9999995231628%,480
005,Allegan County,1399,15.6000003218651%,9,0.643316654753395%,2,43292,11847,9.00000035762787%,8956
007,Alpena County,399,23.3999997377396%,1,0.25062656641604%,1,15289,4370,17.0000001788139%,1704
009,Antrim County,233,15.5000001192093%,0,0%,0,15090,3407,14.0000000596046%,1508
011,Arenac County,33,3.20000015199184%,0,0%,0,9563,1972,25%,1021
013,Baraga County,163,30.0000011920929%,0,0%,0,4631,1616,17.0000001788139%,543
015,Barry County,619,14.4999995827675%,3,0.484652665589661%,1,23876,7009,7.00000002980232%,4283
017,Bay County,271,3.70000004768372%,2,0.738007380073801%,2,46423,17237,12.9999995231628%,7387
019,Benzie County,181,14.8000001907349%,0,0%,0,10312,2816,9.00000035762787%,1220
021,Berrien County,2427,19.4000005722046%,38,1.56571899464359%,28,73445,24006,21.9999998807907%,12511
025,Calhoun County,1923,17.5999999046326%,30,1.5600624024961%,14,58691,21363,15.9999996423721%,10947
027,Cass County,582,17.8000003099442%,5,0.859106529209622%,1,23884,7269,14.0000000596046%,3266
029,Charlevoix County,251,14.5999997854233%,0,0%,0,15370,3945,10.9999999403954%,1718
031,Cheboygan County,266,16.3000002503395%,1,0.37593984962406%,0,16583,3598,23.0000004172325%,1628
033,Chippewa County,414,18.9999997615814%,2,0.483091787439613%,0,19430,5527,18.9999997615814%,2178
035,Clare County,27,1.40000004321337%,0,0%,0,22229,2902,27.0000010728836%,1984
037,Clinton County,440,8.60000029206276%,2,0.454545454545455%,1,24630,7074,7.00000002980232%,5089
039,Crawford County,135,16.5999993681908%,0,0%,0,10042,1965,21.9999998807907%,811
041,Delta County,319,13.400000333786%,2,0.626959247648903%,1,19223,7246,15.0000005960464%,2372
043,Dickinson County,461,27.5999993085861%,0,0%,0,13702,5700,15.9999996423721%,1673
045,Eaton County,1167,15.9999996423721%,5,0.428449014567267%,2,42118,9866,7.99999982118607%,7297
047,Emmet County,271,12.3000003397465%,1,0.3690036900369%,0,18554,5138,7.00000002980232%,2200
049,Genesee County,7818,21.8999996781349%,58,0.741877718086467%,30,183630,41934,21.9999998807907%,35729
051,Gladwin County,23,1.40000004321337%,0,0%,0,16828,2307,20.9999993443489%,1606
053,Gogebic County,199,25.4000008106232%,0,0%,0,10839,5859,23.0000004172325%,782
055,Grand Traverse County,569,9.49999988079071%,1,0.175746924428822%,1,34842,6214,5.99999986588955%,5975
057,Gratiot County,365,12.6000002026558%,3,0.821917808219178%,0,15516,6181,10.9999999403954%,2892
059,Hillsdale County,n,,n,#VALUE!,n,20189,7865,10.9999999403954%,3434
061,Houghton County,615,27.0000010728836%,2,0.32520325203252%,2,17748,9724,21.9999998807907%,2281
065,Ingham County,3735,17.8000003099442%,28,0.749665327978581%,9,115056,29790,17.0000001788139%,20938
067,Ionia County,809,16.3000002503395%,10,1.23609394313968%,1,22006,8330,12.9999995231628%,4949
069,Iosco County,365,25.6999999284744%,0,0%,0,20432,4051,23.0000004172325%,1423
071,Iron County,155,25.7999986410141%,0,0%,0,8772,3902,23.9999994635582%,601
073,Isabella County,55,1.30000002682209%,0,0%,0,24528,4709,15.9999996423721%,4202
075,Jackson County,2150,17.1000003814697%,27,1.25581395348837%,11,62906,22439,15.0000005960464%,12540
077,Kalamazoo County,3324,17.8000003099442%,38,1.14320096269555%,13,99250,24386,14.0000000596046%,18680
079,Kalkaska County,184,13.6999994516373%,0,0%,0,10822,1643,15.0000005960464%,1345
081,Kent County,9794,17.5999999046326%,191,1.95017357565857%,106,224000,59935,11.9999997317791%,55567
083,Keweenaw County,18,15.3999999165535%,0,0%,0,2327,1278,15.0000005960464%,117
085,Lake County,132,18.9999997615814%,1,0.757575757575758%,0,13498,2040,30.0000011920929%,693
087,Lapeer County,937,15.0000005960464%,2,0.213447171824973%,3,32732,7252,5.99999986588955%,6233
089,Leelanau County,135,11.4000000059605%,1,0.740740740740741%,0,13297,2921,10.0000001490116%,1181
091,Lenawee County,1275,17.2000005841255%,12,0.941176470588235%,6,39769,15356,9.00000035762787%,7408
093,Livingston County,937,7.29999989271164%,2,0.213447171824973%,1,58919,8073,2.99999993294477%,12892
095,Luce County,87,24.4000002741814%,1,1.14942528735632%,0,4008,1201,23.0000004172325%,356
097,Mackinac County,149,27.2000014781952%,0,0%,0,9413,2641,12.9999995231628%,547
099,Macomb County,7536,12.3999997973442%,20,0.265392781316348%,3,320276,34757,7.00000002980232%,60856
101,Manistee County,267,17.5999999046326%,5,1.87265917602996%,0,14272,5130,17.0000001788139%,1520
103,Marquette County,607,16.5000006556511%,3,0.494233937397035%,1,32877,10723,15.9999996423721%,3670
105,Mason County,266,14.1000002622604%,4,1.50375939849624%,0,16063,5002,20.0000002980232%,1892
107,Mecosta County,434,16.0999998450279%,3,0.691244239631336%,1,19593,4313,23.0000004172325%,2703
109,Menominee County,224,15.2999997138977%,2,0.892857142857143%,0,13639,5238,20.0000002980232%,1464
111,Midland County,393,7.00000002980232%,2,0.508905852417303%,0,33796,5703,11.9999997317791%,5620
113,Missaukee County,147,14.3999993801117%,0,0%,0,8621,1773,14.0000000596046%,1019
115,Monroe County,1555,14.3999993801117%,3,0.192926045016077%,2,56471,15961,9.00000035762787%,10827
117,Montcalm County,722,14.6999999880791%,2,0.277008310249307%,0,25900,7279,15.0000005960464%,4899
119,Montmorency County,114,22.2000002861023%,0,0%,0,9238,1699,15.9999996423721%,514
121,Muskegon County,2444,17.399999499321%,39,1.59574468085106%,22,68556,20457,18.9999997615814%,14083
123,Newaygo County,710,18.7999993562698%,1,0.140845070422535%,0,23202,5270,18.0000007152557%,3773
125,Oakland County,11589,13.0999997258186%,40,0.345154888256105%,6,492006,78387,7.00000002980232%,88381
127,Oceana County,593,25.0999987125397%,2,0.337268128161889%,0,15009,4028,23.9999994635582%,2362
129,Ogemaw County,421,32.6999992132187%,1,0.237529691211401%,0,15404,2817,20.9999993443489%,1286
131,Ontonagon County,87,31.0999989509583%,0,0%,0,5404,2346,12.9999995231628%,280
133,Osceola County,37,2.09999997168779%,0,0%,0,12853,3109,18.9999997615814%,1760
135,Oscoda County,140,27.3999989032745%,0,0%,0,8690,1594,18.0000007152557%,511
137,Otsego County,258,15.2999997138977%,0,0%,0,13375,1685,7.99999982118607%,1686
139,Ottawa County,543,2.5000000372529%,0,0%,2,86856,15645,5.00000007450581%,21506
141,Presque Isle County,116,15.6000003218651%,0,0%,0,9910,2739,15.0000005960464%,744
143,Roscommon County,20,1.49999996647239%,0,0%,0,23109,3712,25.9999990463257%,1317
145,Saginaw County,3313,21.6000005602837%,38,1.14699667974645%,13,85505,25066,25.9999990463257%,15321
147,St. Clair County,948,7.69999995827675%,6,0.632911392405063%,4,67107,19833,10.9999999403954%,12347
149,St. Joseph County,116,2.09999997168779%,3,2.58620689655172%,0,26503,9220,20.9999993443489%,5540
