"CBLS County-level Summary Data for MN, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
999,Unknown Address,601,4,0,0%,0,,,
001,Aitkin County,117,1,1,0.899999961256981%,1,14168,3250,17.0000001788139%
003,Anoka County,5820,105,5,0.100000004749745%,0,108091,6726,5.00000007450581%
005,Becker County,529,5,1,0.20000000949949%,0,16612,4095,18.0000007152557%
007,Beltrami County,561,7,3,0.499999988824129%,0,16989,3278,28.0000001192093%
009,Benton County,896,11,1,0.100000004749745%,0,13460,2773,9.00000035762787%
011,Big Stone Count,62,.,0,0%,0,3171,1516,12.9999995231628%
013,Blue Earth Coun,860,21,2,0.20000000949949%,0,21971,7376,14.0000000596046%
015,Brown County,427,11,1,0.20000000949949%,0,11163,4872,10.9999999403954%
017,Carlton County,630,10,0,0%,0,13721,4420,9.00000035762787%
019,Carver County,935,16,0,0%,0,24883,3839,5.00000007450581%
021,Cass County,452,7,1,0.20000000949949%,0,21286,3691,20.0000002980232%
023,Chippewa County,184,7,0,0%,0,5855,2669,15.0000005960464%
025,Chisago County,668,10,0,0%,0,15533,2893,7.99999982118607%
027,Clay County,680,6,0,0%,0,19746,4147,15.9999996423721%
029,Clearwater Coun,73,.,0,0%,0,4114,1258,23.0000004172325%
031,Cook County,66,3,0,0%,0,4708,849,23.0000004172325%
033,Cottonwood Coun,137,1,1,0.700000021606684%,1,5376,2559,23.9999994635582%
035,Crow Wing Count,715,10,2,0.300000002607703%,0,33483,6786,15.0000005960464%
037,Dakota County,6386,90,6,0.100000004749745%,1,133750,9271,3.99999991059303%
039,Dodge County,241,4,2,0.800000037997961%,0,6642,2356,7.00000002980232%
041,Douglas County,391,6,1,0.300000002607703%,0,16694,4289,10.9999999403954%
043,Faribault Count,196,13,3,1.49999996647239%,1,7247,4088,14.0000000596046%
045,Fillmore County,177,5,1,0.600000005215406%,0,8908,4796,18.0000007152557%
047,Freeborn County,416,23,2,0.499999988824129%,1,13996,6114,11.9999997317791%
049,Goodhue County,616,17,2,0.300000002607703%,1,17879,6549,5.99999986588955%
051,Grant County,78,5,1,1.30000002682209%,0,3098,1490,12.9999995231628%
053,Hennepin County,20353,609,104,0.499999988824129%,27,468824,134969,10.9999999403954%
055,Houston County,260,24,0,0%,1,8168,2995,7.00000002980232%
057,Hubbard County,173,4,0,0%,0,12229,2663,14.0000000596046%
059,Isanti County,656,8,0,0%,0,12062,2567,5.99999986588955%
061,Itasca County,750,10,0,0%,0,24528,5726,18.0000007152557%
063,Jackson County,132,5,0,0%,0,5092,2582,12.9999995231628%
065,Kanabec County,194,2,1,0.499999988824129%,0,6846,1735,11.9999997317791%
067,Kandiyohi Count,692,21,4,0.600000005215406%,1,18415,4978,14.0000000596046%
069,Kittson County,26,1,0,0%,0,2719,1170,11.9999997317791%
071,Koochiching Cou,198,5,1,0.499999988824129%,1,7719,2265,18.9999997615814%
073,Lac qui Parle C,87,4,2,2.30000000447035%,1,3774,2194,10.9999999403954%
075,Lake County,152,3,0,0%,0,6840,1918,18.0000007152557%
077,Lake of the Woo,30,.,0,0%,0,3238,654,10.0000001490116%
079,Le Sueur County,322,7,1,0.300000002607703%,0,10858,4002,7.00000002980232%
081,Lincoln County,72,3,1,1.40000004321337%,0,3043,1531,10.0000001490116%
083,Lyon County,644,12,2,0.300000002607703%,1,10298,3695,12.9999995231628%
085,McLeod County,550,6,1,0.20000000949949%,0,14087,4121,5.00000007450581%
087,Mahnomen County,101,1,0,0%,0,2700,1045,23.0000004172325%
089,Marshall County,62,1,0,0%,0,4791,1915,12.9999995231628%
091,Martin County,256,10,2,0.800000037997961%,0,9800,4522,15.9999996423721%
093,Meeker County,353,8,0,0%,0,9821,3597,7.99999982118607%
095,Mille Lacs Coun,449,13,1,0.20000000949949%,1,10467,2941,12.9999995231628%
097,Morrison County,619,5,0,0%,0,13870,4347,17.0000001788139%
099,Mower County,528,11,2,0.400000018998981%,2,16251,7469,11.9999997317791%
101,Murray County,124,4,0,0%,0,4357,2125,10.9999999403954%
103,Nicollet County,453,10,1,0.20000000949949%,0,11240,3314,10.9999999403954%
105,Nobles County,493,22,3,0.600000005215406%,1,8465,3586,17.0000001788139%
107,Norman County,50,1,0,0%,0,3455,1651,17.0000001788139%
109,Olmsted County,1307,30,4,0.300000002607703%,0,49422,8883,7.00000002980232%
111,Otter Tail Coun,372,14,2,0.499999988824129%,0,33862,10372,15.9999996423721%
113,Pennington Coun,74,4,0,0%,0,6033,2102,10.9999999403954%
115,Pine County,348,12,0,0%,0,15353,3736,20.9999993443489%
117,Pipestone Count,125,2,0,0%,1,4434,2140,17.0000001788139%
119,Polk County,190,8,1,0.499999988824129%,1,14008,5117,15.9999996423721%
121,Pope County,156,2,1,0.600000005215406%,1,5827,2369,10.0000001490116%
123,Ramsey County,10969,597,47,0.400000018998981%,13,206448,72654,15.9999996423721%
125,Red Lake County,14,.,0,0%,0,1883,809,15.9999996423721%
127,Redwood County,227,13,2,0.899999961256981%,0,7230,3367,10.0000001490116%
129,Renville County,308,15,0,0%,0,7413,3576,12.9999995231628%
131,Rice County,1209,16,7,0.600000005215406%,0,20061,6245,7.00000002980232%
133,Rock County,108,6,0,0%,0,4137,1958,9.00000035762787%
135,Roseau County,122,1,0,0%,0,7101,1619,7.00000002980232%
137,St. Louis Count,3127,82,5,0.20000000949949%,0,95800,42088,17.0000001788139%
139,Scott County,1975,8,3,0.20000000949949%,0,31609,3236,1.99999995529652%
141,Sherburne Count,1554,14,0,0%,0,22827,2046,2.99999993294477%
143,Sibley County,248,11,0,0%,1,6024,2896,12.9999995231628%
145,Stearns County,2796,50,5,0.20000000949949%,0,50291,11510,7.99999982118607%
147,Steele County,645,15,2,0.300000002607703%,0,13306,4402,9.00000035762787%
149,Stevens County,162,.,2,1.20000001043081%,0,4074,1578,10.9999999403954%
151,Swift County,161,6,0,0%,0,4821,2387,10.0000001490116%
153,Todd County,421,10,1,0.20000000949949%,0,11900,4399,18.0000007152557%
155,Traverse County,54,4,1,1.89999993890524%,0,2199,1104,15.0000005960464%
