"CBLS County-level Summary Data for OK, 2007",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2007"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Adair County,558,26.800000667572%,3,0.537634408602151%,0,8348,1329,28.0000001192093%,2082
003,Alfalfa County,9,3.09999994933605%,0,0%,0,2832,1587,25.9999990463257%,286
005,Atoka County,137,13.7999996542931%,0,0%,0,5673,707,31.0000002384186%,994
007,Beaver County,68,15.7000005245209%,0,0%,0,2719,927,18.0000007152557%,433
009,Beckham County,352,18.6000004410744%,1,0.284090909090909%,0,8796,2277,28.999999165535%,1889
011,Blaine County,60,7.00000002980232%,0,0%,0,5208,1553,28.0000001192093%,852
013,Bryan County,558,17.9000005125999%,3,0.537634408602151%,1,16715,2455,21.9999998807907%,3119
015,Caddo County,192,8.10000002384186%,2,1.04166666666667%,1,13096,3343,34.0000003576279%,2383
017,Canadian County,196,2.30000000447035%,1,0.510204081632653%,0,33969,3923,11.9999997317791%,8600
019,Carter County,433,10.8000002801418%,3,0.69284064665127%,0,20577,4627,25.9999990463257%,4025
021,Cherokee County,134,3.79999987781048%,0,0%,0,19499,1804,36.0000014305115%,3524
023,Choctaw County,284,23.1000006198883%,1,0.352112676056338%,1,7539,1421,37.0000004768372%,1231
025,Cimarron County,8,4.39999997615814%,0,0%,0,1583,638,34.9999994039536%,181
027,Cleveland County,1093,6.3000001013279%,4,0.365965233302836%,0,84844,5133,11.9999997317791%,17284
029,Coal County,82,19.5999994874001%,3,3.65853658536585%,1,2744,702,27.0000010728836%,419
031,Comanche County,1053,9.00000035762787%,3,0.284900284900285%,0,45416,5884,23.0000004172325%,11749
033,Cotton County,69,14.6999999880791%,1,1.44927536231884%,0,3085,949,28.0000001192093%,468
035,Craig County,38,3.59999984502792%,0,0%,2,6459,2045,18.9999997615814%,1055
037,Creek County,256,4.89999987185001%,3,1.171875%,1,27986,4892,20.0000002980232%,5187
039,Custer County,300,13.3000001311302%,1,0.333333333333333%,0,11675,2290,25.9999990463257%,2257
041,Delaware County,87,3.20000015199184%,0,0%,0,22290,1813,31.0000002384186%,2734
043,Dewey County,34,10.8999997377396%,0,0%,0,2425,952,27.0000010728836%,312
045,Ellis County,14,4.6000000089407%,0,0%,0,2146,976,23.9999994635582%,304
047,Garfield County,80,1.49999996647239%,9,11.25%,2,26047,7339,23.0000004172325%,5386
049,Garvin County,239,11.2000003457069%,3,1.25523012552301%,0,12641,3064,20.0000002980232%,2129
051,Grady County,260,6.40000030398369%,0,0%,1,19444,4440,18.0000007152557%,4079
053,Grant County,n,,n,#VALUE!,n,2622,1271,28.999999165535%,248
055,Greer County,82,21.2999999523163%,0,0%,0,2788,1160,33.0000013113022%,385
057,Harmon County,92,43.5999989509583%,3,3.26086956521739%,0,1647,705,37.9999995231628%,211
059,Harper County,83,31.2000006437302%,0,0%,0,1863,789,18.9999997615814%,266
061,Haskell County,93,9.79999974370003%,0,0%,0,5573,877,20.0000002980232%,947
063,Hughes County,189,19.4000005722046%,4,2.11640211640212%,2,6237,2116,28.999999165535%,976
065,Jackson County,509,19.9000000953674%,2,0.392927308447937%,1,12377,2799,20.9999993443489%,2560
067,Jefferson County,87,18.299999833107%,0,0%,0,3373,1043,23.9999994635582%,475
069,Johnston County,141,16.7999997735024%,0,0%,0,4782,763,33.0000013113022%,837
071,Kay County,98,2.5000000372529%,8,8.16326530612245%,2,21804,7454,28.999999165535%,3875
073,Kingfisher County,183,15.5000001192093%,2,1.09289617486339%,0,5879,1468,18.9999997615814%,1179
075,Kiowa County,150,22.2000002861023%,2,1.33333333333333%,0,5304,2290,27.0000010728836%,676
077,Latimer County,61,9.00000035762787%,0,0%,0,4709,721,38.9999985694885%,679
079,Le Flore County,198,4.6000000089407%,1,0.505050505050505%,0,20142,3424,25.9999990463257%,4264
081,Lincoln County,364,15.0999993085861%,2,0.549450549450549%,0,13712,2994,21.9999998807907%,2412
083,Logan County,244,8.60000029206276%,2,0.819672131147541%,2,13906,3290,15.9999996423721%,2832
085,Love County,146,20.4999998211861%,1,0.684931506849315%,0,4066,566,18.0000007152557%,711
087,McClain County,138,5.29999993741512%,1,0.72463768115942%,0,11189,1643,17.0000001788139%,2628
089,McCurtain County,244,8.79999995231628%,2,0.819672131147541%,0,15427,1945,37.0000004768372%,2783
091,McIntosh County,82,6.1999998986721%,0,0%,0,12640,1089,28.0000001192093%,1315
093,Major County,10,1.99999995529652%,0,0%,0,3540,1105,25.9999990463257%,506
095,Marshall County,258,20.7000002264976%,1,0.387596899224806%,0,8517,787,27.0000010728836%,1245
097,Mayes County,220,7.29999989271164%,0,0%,2,17423,2544,23.0000004172325%,3006
099,Murray County,36,3.90000008046627%,0,0%,0,6479,1311,20.0000002980232%,925
101,Muskogee County,652,11.4000000059605%,21,3.22085889570552%,3,29575,6966,31.0000002384186%,5742
103,Noble County,57,6.70000016689301%,1,1.75438596491228%,0,5082,1372,20.0000002980232%,845
105,Nowata County,16,2.09999997168779%,0,0%,0,4705,1391,20.9999993443489%,754
107,Okfuskee County,84,10.5999998748302%,3,3.57142857142857%,0,5114,1554,33.0000013113022%,790
109,Oklahoma County,3101,4.39999997615814%,31,0.999677523379555%,8,295020,49569,25%,70122
111,Okmulgee County,244,7.90000036358833%,8,3.27868852459016%,3,17316,5183,28.0000001192093%,3107
113,Osage County,101,3.50000001490116%,1,0.99009900990099%,0,18826,4530,20.9999993443489%,2873
115,Ottawa County,353,14.6999999880791%,6,1.69971671388102%,9,14842,4169,25.9999990463257%,2395
117,Pawnee County,297,24.1999998688698%,3,1.01010101010101%,0,7464,1814,21.9999998807907%,1229
119,Payne County,338,6.40000030398369%,3,0.887573964497041%,1,29326,5413,20.0000002980232%,5262
121,Pittsburg County,333,10.4999996721745%,1,0.3003003003003%,0,21520,4491,27.0000010728836%,3159
123,Pontotoc County,269,9.00000035762787%,2,0.743494423791822%,1,15575,3326,27.0000010728836%,2975
125,Pottawatomie County,497,9.20000001788139%,3,0.603621730382294%,0,27302,5967,23.0000004172325%,5415
127,Pushmataha County,174,20.9000006318092%,0,0%,0,5795,851,34.0000003576279%,831
129,Roger Mills County,27,9.89999994635582%,0,0%,0,1749,630,23.0000004172325%,274
131,Rogers County,172,2.80000008642673%,1,0.581395348837209%,0,27476,2544,10.9999999403954%,6098
133,Seminole County,290,14.300000667572%,3,1.03448275862069%,0,11146,3113,33.0000013113022%,2033
135,Sequoyah County,107,3.4000001847744%,2,1.86915887850467%,0,16940,1484,27.0000010728836%,3150
137,Stephens County,287,8.50000008940697%,2,0.696864111498258%,1,19854,3509,23.9999994635582%,3375
139,Texas County,323,14.4999995827675%,1,0.309597523219814%,0,8014,1717,20.0000002980232%,2235
141,Tillman County,219,33.0000013113022%,2,0.91324200913242%,0,4342,1872,37.9999995231628%,664
143,Tulsa County,1865,3.29999998211861%,6,0.32171581769437%,0,243953,37585,18.0000007152557%,55754
145,Wagoner County,108,2.09999997168779%,0,0%,0,23174,1716,14.0000000596046%,5213
147,Washington County,192,5.40000014007092%,3,1.5625%,0,22250,5020,23.0000004172325%,3545
149,Washita County,88,9.0999998152256%,1,1.13636363636364%,0,5452,1754,25.9999990463257%,968
151,Woods County,40,7.59999975562096%,1,2.5%,0,4492,1880,11.9999997317791%,527
153,Woodward County,190,11.2999998033047%,0,0%,0,8341,1807,15.0000005960464%,1686
999,Unknown,1175,,2,0.170212765957447%,0,,,,
,,,,,,,,,,
"* Based on most recent five years of data, 2003-2007",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,Oklahoma Confirmed Cases 2007,,179,,,,,,,
