"CBLS County-level Summary Data for NH, 2008",,,,,,,,,,
,,,,,,,,,,
County FIPS,County Name,# of Children Tested,Percent of Children Tested,Total # of Confirmed Cases,Percent of Children With Elevated Blood Lead Levels,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,,"Estimated Population of Children < 6, 2008"
,,,,,,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty,
001,Belknap County,584,15.7000005245209%,11,1.88356164383562%,6,32121,9269,10.9999999403954%,3718
003,Carroll County,487,18.6000004410744%,5,1.02669404517454%,4,34750,8081,10.0000001490116%,2622
005,Cheshire County,981,20.8000004291534%,9,0.91743119266055%,11,31876,12116,10.9999999403954%,4717
007,Coos County,395,21.9999998807907%,5,1.26582278481013%,1,19623,8608,15.9999996423721%,1792
009,Grafton County,668,13.400000333786%,13,1.94610778443114%,7,43729,14263,10.0000001490116%,4972
011,Hillsborough County,5720,18.6000004410744%,115,2.01048951048951%,50,149961,41773,9.00000035762787%,30769
013,Merrimack County,1701,17.8000003099442%,31,1.82245737801293%,14,56244,18116,9.00000035762787%,9582
015,Rockingham County,3112,14.9000003933907%,15,0.482005141388175%,6,113023,23883,5.00000007450581%,20921
017,Strafford County,1499,17.2999992966652%,20,1.33422281521014%,6,45539,13908,10.9999999403954%,8655
019,Sullivan County,683,23.1000006198883%,14,2.0497803806735%,5,20158,7104,12.9999995231628%,2952
,,,,,,,,,,
"* Based on most recent five years of data, 2004-2008",,,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,,
,,,,,,,,,,
,New Hampshire 2008 Confirmed Cases,,238,,,,,,,
