"CBLS County-level Summary Data for IL, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
001,Adams County,1028,70,35,3.4000001847744%,10,29386,12335,12.9999995231628%
003,Alexander Count,168,22,5,2.99999993294477%,2,4591,1540,40.0000005960465%
005,Bond County,283,33,2,0.700000021606684%,0,6690,2153,14.0000000596046%
007,Boone County,1032,149,3,0.300000002607703%,0,15414,4241,10.9999999403954%
009,Brown County,71,8,1,1.40000004321337%,1,2456,1328,10.0000001490116%
011,Bureau County,482,72,8,1.7000000923872%,1,15331,8355,12.9999995231628%
013,Calhoun County,40,7,1,2.5000000372529%,0,2681,999,10.9999999403954%
015,Carroll County,238,15,4,1.7000000923872%,1,7945,4144,15.0000005960464%
017,Cass County,394,39,10,2.5000000372529%,1,5784,2915,17.0000001788139%
019,Champaign Count,2696,85,7,0.300000002607703%,2,75280,14330,15.0000005960464%
021,Christian Count,577,28,5,0.899999961256981%,2,14992,7092,18.0000007152557%
023,Clark County,143,8,0,0%,1,7816,3260,12.9999995231628%
025,Clay County,262,29,3,1.09999999403954%,1,6394,2183,12.9999995231628%
027,Clinton County,354,5,1,0.300000002607703%,0,13805,3724,7.99999982118607%
029,Coles County,800,54,5,0.600000005215406%,3,22768,7944,14.0000000596046%
031,Cook County,43241,2894,1194,2.80000008642673%,374,2096121,800622,20.0000002980232%
033,Crawford County,277,22,1,0.400000018998981%,0,8785,3514,15.0000005960464%
035,Cumberland Coun,173,15,0,0%,1,4876,1601,17.0000001788139%
037,DeKalb County,1316,41,7,0.499999988824129%,0,32988,9028,10.0000001490116%
039,De Witt County,265,40,5,1.89999993890524%,2,7282,3344,15.9999996423721%
041,Douglas County,320,16,2,0.600000005215406%,1,8005,3005,11.9999997317791%
043,Du Page County,8420,160,24,0.300000002607703%,1,335621,33311,3.99999991059303%
045,Edgar County,236,25,7,2.99999993294477%,1,8611,4252,20.0000002980232%
047,Edwards County,71,10,2,2.80000008642673%,1,3199,1302,15.9999996423721%
049,Effingham Count,377,31,1,0.300000002607703%,0,13959,3190,12.9999995231628%
