"CBLS County-level Summary Data for MD, 2012",,,,,,,,,
,,,,,,,,,
County FIPS,County Name,# of Children Tested,Total # Children Tested 5-9 µg/dL,Confirmed Cases,,# of Addresses- Multiple Children w/ Confirmed EBLLs *,Census 2000 Data,,
,,,,Total #,Total %,,Total Housing Units,Pre-1950 Housing Units,% of Children < 6 Under Poverty
998,Unknown County,24241,580,34,0.100000004749745%,47,,,
001,Allegany County,1323,75,9,0.700000021606684%,3,32984,16696,23.9999994635582%
003,Anne Arundel Co,8301,82,7,0.100000004749745%,3,186937,23437,7.00000002980232%
005,Baltimore Count,18244,339,30,0.20000000949949%,8,313734,58451,7.99999982118607%
009,Calvert County,716,7,1,0.100000004749745%,0,27576,2609,3.99999991059303%
011,Caroline County,779,19,2,0.300000002607703%,2,12028,3413,14.0000000596046%
013,Carroll County,1237,25,3,0.20000000949949%,1,54260,9800,3.99999991059303%
015,Cecil County,1221,17,0,0%,1,34461,6469,10.9999999403954%
017,Charles County,1967,12,3,0.20000000949949%,1,43903,3212,5.00000007450581%
019,Dorchester Coun,698,22,1,0.100000004749745%,1,14681,4883,18.0000007152557%
021,Frederick Count,3044,31,7,0.20000000949949%,3,73017,13286,5.00000007450581%
023,Garrett County,421,6,1,0.20000000949949%,0,16761,3617,17.0000001788139%
025,Harford County,2983,37,6,0.20000000949949%,1,83146,8789,7.00000002980232%
027,Howard County,2493,29,6,0.20000000949949%,0,92818,3665,3.99999991059303%
029,Kent County,250,7,2,0.800000037997961%,1,9410,2892,23.0000004172325%
031,Montgomery Coun,20612,209,19,0.100000004749745%,4,334632,37592,5.99999986588955%
033,Prince George's,1503,14,1,0.100000004749745%,0,302378,33348,9.00000035762787%
035,Queen Anne's Co,475,13,2,0.400000018998981%,0,16674,2668,7.00000002980232%
037,St. Mary's Coun,1647,28,1,0.100000004749745%,0,34081,3573,9.00000035762787%
039,Somerset County,610,18,2,0.300000002607703%,1,10092,2924,36.0000014305115%
041,Talbot County,608,11,3,0.499999988824129%,0,16500,4087,9.00000035762787%
043,Washington Coun,2677,118,0,0%,0,52972,17867,17.0000001788139%
045,Wicomico County,2162,50,3,0.100000004749745%,1,34401,6681,18.0000007152557%
047,Worcester Count,860,7,2,0.20000000949949%,3,47360,4334,17.0000001788139%
510,Baltimore city,12057,788,204,1.7000000923872%,74,300477,164887,34.9999994039536%
*# of Addresses where address state not in selected state: 6,# of Addresses where program state is not in selected state: 495,,,,,,,,
*# of Addresses where address state not in selected state: 6,# of Addresses where program state is not in selected state: 2,,,,,,,,
,,,,,,,,,
"* Based on most recent five years of data, 2008-2012",,,,,,,,,
n - indicates data suppressed because less than 5 children were tested in area,,,,,,,,,
